,Car Brand,Model,Image_url,Car
0,Acura, ILX,https://media.ed.edmunds-media.com/acura/ilx/2019/oem/2019_acura_ilx_sedan_technology-and-a-spec-packages_fq_oem_1_815.jpg,Acura  ILX
1,Acura, Integra,https://media.ed.edmunds-media.com/acura/integra/2023/oem/2023_acura_integra_4dr-hatchback_base_fq_oem_1_815.jpg,Acura  Integra
2,Acura, MDX,https://media.ed.edmunds-media.com/acura/mdx/2023/oem/2023_acura_mdx_4dr-suv_sh-awd_fq_oem_1_815.jpg,Acura  MDX
3,Acura, NSX,https://media.ed.edmunds-media.com/acura/nsx/2022/oem/2022_acura_nsx_coupe_type-s_fq_oem_1_815.jpg,Acura  NSX
4,Acura, RDX,https://media.ed.edmunds-media.com/acura/rdx/2023/oem/2023_acura_rdx_4dr-suv_base_fq_oem_1_815.jpg,Acura  RDX
5,Acura, TLX,https://media.ed.edmunds-media.com/acura/tlx/2023/oem/2023_acura_tlx_sedan_base_fq_oem_1_815.jpg,Acura  TLX
6,Alfa, Romeo Giulia,https://media.ed.edmunds-media.com/alfa-romeo/giulia/2023/oem/2023_alfa-romeo_giulia_sedan_estrema_fq_oem_1_815.jpg,Alfa  Romeo Giulia
7,Alfa, Romeo Stelvio,https://media.ed.edmunds-media.com/alfa-romeo/stelvio/2023/oem/2023_alfa-romeo_stelvio_4dr-suv_estrema_fq_oem_1_815.jpg,Alfa  Romeo Stelvio
8,Aston, Martin DB11,https://media.ed.edmunds-media.com/aston-martin/db11/2021/oem/2021_aston-martin_db11_coupe_v8_fq_oem_1_815.jpg,Aston  Martin DB11
9,Aston, Martin DBS,https://media.ed.edmunds-media.com/aston-martin/dbs/2022/oem/2022_aston-martin_dbs_coupe_base_fq_oem_1_815.jpg,Aston  Martin DBS
10,Aston, Martin DBX,https://media.ed.edmunds-media.com/aston-martin/dbx/2021/oem/2021_aston-martin_dbx_4dr-suv_base_fq_oem_10_815.jpg,Aston  Martin DBX
11,Aston, Martin Vantage,https://media.ed.edmunds-media.com/aston-martin/vantage/2021/oem/2021_aston-martin_vantage_coupe_base_fq_oem_1_815.jpg,Aston  Martin Vantage
12,Audi, A3,https://media.ed.edmunds-media.com/audi/a3/2023/oem/2023_audi_a3_sedan_premium-plus_fq_oem_1_815.jpg,Audi  A3
